Cheese,Cost,Materials Used,Remarks,,Charms,Cost,Materials Used,Remarks,,Raw Materials,Cost
Ancient (3 piece),900,"3 Stale Cheese
6 Ionized Salt",,,2014 Charm,,,Limited Edition,,,
Ancient (6 piece),450,"3 Magic Essence
3 Stale Cheese
6 Ionized Salt",,,2015 Charm,,,Limited Edition,,,
Ancient (Potion),,Ancient Potion,,,2016 Charm,,,Limited Edition,,,
Arctic Asiago ,0,Great Winter Hunt,,,2017 Charm,,,,,,
Ascended ,"24,830",,,,Airship Charm,,,,,,
Brie ,200,,,,Amplifier Charm,,,Charges Tower Amplifier twice as quickly while hunting in the Seasonal Garden,,,
Brie String ,"1,600",,,,Ancient Charm,,,,,,
Candy Corn ,0,Halloween,,,Antiskele Charm,,Simple Orb,Repels Skeleton,,,
Checkmate (3 piece),"1,800",,,,Artisan Charm,350,"1 Limestone Brick
1 Coconut Timber
1 Shard of Glass",Attracts Blacksmith and Mage Weaver,,,
Checkmate (9 piece),600,,,,Athlete Charm,,,Bonus +10 luck in Great Gnawnian Games,,,
Cheddar ,10,,,,Attraction Charm,300,,,,,
Cherry ,300,Cherry Potion,,,Baitkeep Charm,,,Prevents mice from stealing bait.,,,
Combat ,110,,,,Black Powder Charm,,,Attract Black Powder Thief in Daredevil Canyon phase of Gnawnian Express Station,,,
Creamy Havarti ,"1,375",,,,Blue Double Sponge Charm,,Flawless Orb,Doubles Dewdrops in Living Garden,,,
Crescent ,36,,,,Brain Charm,,Simple Orb,Increases the chance of encountering the various zombie mice.,,,
Crunchy (15 piece),"1,087",,,,Bravery Charm,300,1 Ber Essence,Controls Cursed City Minigame,,,
Crunchy (20 piece),815,Magic essence,,,Cackle Charm,,,Increases Fire Salt drops in Jungle of Dread,,,
Crunchy Havarti ,"6 pieces for
3,452
gold","Crafting:
6 Piece Recipe",,,Cactus Charm,,,"Add 2,500 Power with Claw Shot Base and S.L.A.C. or S.L.A.C. II in Claw Shot City",,,
Cupcake Colby,"0
-
200
gold","Potion:
Cupcake Colby Potion",,,Candy Charm,,,See current Halloween event page,,,
Dewthief Camembert,750,,,,Champion Charm,,,Bonus luck when armed with a Tournament Base,,,
Dewthief Camembert (4 piece),750,magic essence,,,Cherry Charm,,Simple Orb,"Funnels all rage from mice caught in Whisker Woods Rift to Crazed Clearing faction.
Attract Cherry Sprite
Riftwalker Set bonus when paired with Rift Bases or Rift Weapons",,,
Diamond ,"5,436",,,,Chrome Charm,,,,,,
Duskshade Camembert,"1,100",,,,Clarity Charm,300,1 Ber Essence,Controls Cursed City Minigame,,,
Duskshade Camembert (4 piece),"1,100",magic essence,,,Compass Magnet Charm,,Divine Orb,Prevents Dead End Clues and may remove them in the Labyrinth,,,
Dumpling ,0,Lunar New Year,,,Crucible Cloning Charm,,,Three additional Crystal Crucibles when one is dropped as loot,,,
Extra Sweet Cupcake Colby,"0
-
300
gold","Potion:
Extra Sweet Cupcake Colby Potion",,,Cupcake Charm,,,,,,
Festive Feta,0,Great Winter Hunt,,,Dark Chocolate Charm,600,,Special attraction during Spring Egg Hunt,,,
Fishy Fromage (2 piece),"1,000",,,,Derr Power Charm,,,600 power and 5% power bonus in Derr Dunes,,,
Fishy Fromage (3 piece),667,magic essence,,,Diamond Boost Charm,,Divine Orb,Boosts Diamond loot in Fungal Cavern,,,
Fusion Fondue,0,,,,Door Guard Charm,,,"Attract Raider mice, Dangerous Duo in Raider River phase of Gnawnian Express Station
No effect during Trap Checks.",,,
Galleon Gouda,0,"Shelder Treasure Chest
Rare Shelder Treasure Chest",,,Dragonbreath Charm,,,Special Attraction during Lunar New Year.,,,
Gauntlet  Tier 2,"0
-
25
gold","Potion:
Gauntlet Potion Tier 2",,,Dragonbane Charm,,Divine Orb,Increases catch rate of Dragon,,,
Gauntlet  Tier 3,"0
-
50
gold","Potion:
Gauntlet Potion Tier 3",,,Dreaded Charm,,,300% power bonus in the Jungle of Dread,,,
Gauntlet  Tier 4,"100
-
150
gold","Potion:
Gauntlet Potion Tier 4",,,Dusty Coal Charm,,,Attract Coal Shoveller mice in Daredevil Canyon phase of Gnawnian Express Station,,,
Gauntlet  Tier 5,"250
-
800
gold","Potion:
Gauntlet Potion Tier 5",,,Eggscavator Charge Charm,,,Enable Charge Egg drops,,,
Gauntlet  Tier 6,"500
-
1,000
gold","Potion:
Gauntlet Potion Tier 6",,,Eggstra Charm,,,Doubles Egg drops during Spring Egg Hunt,,,
Gauntlet  Tier 7,"900
-
1,500
gold","Potion:
Gauntlet Potion Tier 7",,,Eggstra Charge Charm,,,Doubles Egg drops and charges the Eggscavator during Spring Egg Hunt,,,
Gauntlet  Tier 8,"2,000
-
15,000
gold","Potion:
Gauntlet Potion Tier 8",,,Elub Power Charm,,,600 power and 5% power bonus in Elub Shore,,,
Gemstone ,624,,,,EMP400 Charm,,,Increases catch rate of M400 Mouse,,,
Ghoulgonzola ,0,Halloween,,,Empowered Anchor Charm,,Flawless Orb,"Prevents Balack's Cove wash out
Reduces progress to 10 meters per hunt when diving in Sunken City",,,
Gilded ,0,"Loot:
Burglar Mouse",,,Enerchi Charm,,Simple Orb,"Mice throughout the Kingdom drop Enerchi as loot.
Riftwalker Set bonus when paired with Rift Bases or Rift Weapons",,,
Gingerbread ,0,Great Winter Hunt,,,Extra Spooky Charm,800,,See current Halloween event page,,,
Glowing Gruyere (3 piece),"2,200","Crafting:
3 Piece Recipe
5 Piece Recipe",,,Extra Sweet Cupcake Charm,,,,,,
Glowing Gruyere (5 piece),"1,320",,,,Extreme Ancient Charm,,,,,,
Glutter ,71,"Crafting:
3 Piece Recipe

Unstable Curd
Unstable Gourd",,,Extreme Attraction Charm,,,,,,
Gnarled ,"200
-
400
gold","Potion:
Gnarled Potion

Unstable Curd",,,Extreme Luck Charm,,,,,,
Gouda ,600,,,,Extreme Polluted Charm,,Flawless Orb,10 luck when armed with the Polluted Base or Refined Pollutinum Base,,,
Graveblossom Camembert,"1,500",,,,Extreme Power Charm,,,,,,
Graveblossom Camembert (4 piece),"1,500",magic essence,,,Extreme Wealth Charm,,,"Mice drop 20% more gold when caught, up to a maximum of 15,000 extra gold.",,,
Grilled ,0,12 Flour,,,Festive Anchor Charm,,,"Prevents Balack's Cove wash out
Reduces progress to 10 meters per hunt when diving in Sunken City
Special Effects and Attraction during Great Winter Hunt",,,
Gumbo ,872,"Crafting:
15 Piece Recipe
20 Piece Recipe",,,Festive Ultimate Luck Charm,,,,,,
Gumbo (20 piece),654,magic essence,,,Festive Ultimate Power Charm,,,,,,
Inferno Havarti ,"2,169","Crafting:
6 Piece Recipe",,,Firecracker Charm,,,Special Attraction during Lunar New Year.,,,
Lactrodectus Lancashire ,830,,,,First Ever Charm,50,,Limited Edition,,,
Lactrodectus Lancashire (4 piece),623,magic essence,,,Limited Edition,,,,,,
Limelight ,"1,320","3 Living Shard
3 Radioactive Sludge
30 Curds & Whey",,,Flamebane Charm,800,12 Flameshards,150% power bonus against The Marching Flame mice,,,
Limelight (6 piece),660,,,,Forgotten Charm,,,Changes any trap's Power Type to Forgotten,,,
Lunaria Camembert,"1,775",,,,Freshness Charm,,,Reduces chance of bait going stale,,,
Lunaria Camembert (4 piece),"1,775",magic essence,,,Gargantua Guarantee Charm,,,Guarantees Gargantuamouse attraction after reaching streak of 7 in Fiery Warpath,,,
Magical Havarti ,309,"Crafting:
6 Piece Recipe",,,Gemstone Boost Charm,19000,12 Minerals,Boosts Gemstone loot in Fungal Cavern,,,
Magical String ,0,Day 5 Chest,,,Gilded Charm,,,Adds 1 to 10 pieces of SUPER|brie+ to inventory,,,
Maki ,14,"Crafting:
3 Piece Recipe

Give To Friends
Marketplace",,,Glowing Gourd Charm,,,Repels Shadow Stalker Mouse,,,
