,Location,Points,Gold,Preferred Cheese, Group,Sub  Group
Abominable Snow ,Mountain,"1,750","1,750",,Indigenous Mice,
Acolyte ,Acolyte Realm,"31,850","36,309",Runic,The Forgotten Mice,
Aether ,Crystal Library,"56,000","18,000",SUPER|brie+,Zurreal's Breed,
Aged ,Cape Clawed,"6,910","4,000",Crunchy,The Derr Tribe,
Agitated Gentle Giant ,Gnawnia Rift,"26,700","2,510","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Gnawnia Rift
Alchemist ,"Cape Clawed
Elub Shore","1,310",125,,The Elub Tribe,
Alnilam ,Nerg Plains,"6,190","3,200",,The Nerg Tribe,
Alnitak ,Elub Shore,"8,170","2,560",,The Elub Tribe,
Amplified Brown ,Burroughs Rift,"25,250","2,900","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Burroughs Rift
Amplified Grey ,Burroughs Rift,"24,250","1,600","Brie String
Magical String
Marble String
Swiss String",,
Amplified White ,Burroughs Rift,"24,000","9,000","Brie String
Magical String
Marble String
Swiss String",,
Ancient of the Deep,Sunken City,"80,000","6,050",,Deep Sea Dwellers,Predator Pack
Ancient Scribe ,Zokor,"90,000","27,000",,Citizens of Zokor,Lost Scholars
Angelfish ,Sunken City,"28,000","2,535",,Deep Sea Dwellers,Finned Friends
Angler ,Sunken City,"35,355","2,800",,Deep Sea Dwellers,Scale Society
Angry Train Staff ,Gnawnian Express Station,"3,500","2,500",,Train Robbers,Passenger
Aquos ,King's Gauntlet,"6,750","1,000",Gauntlet Cheese Tier 5,Gauntlet Gladiators,Tier 5: Magic Mice
Armored Archer,Furoma Rift (Outside Only),"35,000",800,String Cheese,Rift Stalkers,Furoma Rift
Archer ,"Dojo
Training Grounds","4,500",750,,Followers of Furoma,
Ascended Elder,Furoma Rift (Inside Only),"400,000","80,000",Ascended Cheese,Rift Stalkers,Furoma Rift
Ash Golem ,"Labyrinth
Zokor","45,950","5,000",,Citizens of Zokor,Tech Engineers
Assassin ,Dojo,"5,000","3,400","Maki
SUPER|brie+",Followers of Furoma,
Assassin Beast ,Burroughs Rift,"285,000","50,000",Polluted Parmesan,Rift Walkers,Burroughs Rift
Automated Sentry ,Burroughs Rift,"30,500","4,500","Brie String
Magical String
Marble String
Swiss String",Rift Walkers,Burroughs Rift
Automated Stone Sentry ,"Labyrinth
Zokor","60,000","10,000",,Citizens of Zokor,Tech Engineers
Automorat,Gnawnian Express Station,"6,000","8,000",,Train Robbers,Automice
Balack the Banished,Balack's Cove,"80,000","41,000",Vengeful Vanilla Stilton,Balack's Banished,
Bandit ,King's Gauntlet,300,180,Gauntlet Cheese Tier 2,Gauntlet Gladiators,Tier 2: Thief Mice
Bark ,Living Garden,"11,250","1,950",,Living Garden Mice,
Barkshell ,Twisted Garden,"16,525",950,Duskshade Camembert,Living Garden Mice,
